,name,calories,total_fat,protein,carbohydrate
1995,"Mushrooms, grilled, portabella",29,0.6g,3.28 g,4.44 g
1996,"Game meat, raw, water, buffalo",99,1.4g,20.39 g,0.00 g
1997,"Beverages, brewed, Oolong, tea",1,0g,0.00 g,0.15 g
1998,"Nuts, raw, japanese, chestnuts",154,0.5g,2.25 g,34.91 g
1999,"Soup, mix, dry, chicken noodle",377,6.5g,15.42 g,62.32 g
2000,"Cheese, whole milk, mozzarella",300,22g,22.17 g,2.19 g
2001,"Tomato products, sauce, canned",24,0.3g,1.20 g,5.31 g
2002,"Fast foods, with egg, biscuit",274,16g,8.53 g,23.46 g
2003,"Fast foods, with ham, biscuit",342,16g,11.85 g,38.75 g
2004,"Candies, 5TH AVENUE Candy Bar",482,24g,8.78 g,62.68 g
2005,"Snacks, pieces, fruit leather",359,2.7g,1.00 g,82.82 g
2006,"Beverages, Orange juice drink",54,0g,0.20 g,13.41 g
2007,"Babyfood, peas and brown rice",64,0.5g,3.40 g,11.49 g
2008,HOUSE FOODS Premium Soft Tofu,59,2.7g,6.38 g,2.19 g
2009,"Sweet potato, unprepared, raw",86,0.1g,1.57 g,20.12 g
2010,"Jackfruit, syrup pack, canned",92,0.1g,0.36 g,23.94 g
2011,"Mung beans, raw, mature seeds",347,1.2g,23.86 g,62.62 g
2012,"KEEBLER, Sweet Cremes Cookies",469,19g,4.50 g,71.00 g
2013,"Sausage, beef, pork, Berliner",230,17g,15.27 g,2.59 g
2014,"Syrups, pancake, table blends",234,0g,0.00 g,61.47 g
2015,"Babyfood, strained, ham, meat",97,3.8g,11.30 g,3.70 g
2016,"CHICK-FIL-A, chicken sandwich",249,11g,16.28 g,20.89 g
2017,"Sugar-apples, raw, (sweetsop)",94,0.3g,2.06 g,23.64 g
2018,"Pheasant, raw, meat only, leg",134,4.3g,22.20 g,0.00 g
2019,"Nuts, raw, chinese, chestnuts",224,1.1g,4.20 g,49.07 g
2020,"Bread, wheat, reduced-calorie",217,2.9g,13.32 g,42.47 g
2021,"Bread, white, reduced-calorie",207,2.5g,8.70 g,44.30 g
2022,"Oil, salad or cooking, sesame",884,100g,0.00 g,0.00 g
2023,"Cornmeal, yellow, whole-grain",362,3.6g,8.12 g,76.89 g
2024,"Chicken patty, cooked, frozen",287,20g,14.85 g,12.84 g
2025,"Potato soup, dry mix, instant",343,3.1g,9.20 g,76.14 g
2026,"SUNSHINE, Snack Mix, CHEEZ-IT",438,15g,9.00 g,66.70 g
2027,"Fish, raw, Greenland, halibut",186,14g,14.37 g,0.00 g
2028,"Turkey sausage, cooked, fresh",196,10g,23.89 g,0.00 g
2029,"Pasta, dry, corn, gluten-free",357,2.1g,7.46 g,79.26 g
2030,"Nance, drained, syrup, canned",95,1.3g,0.56 g,22.79 g
2031,"WENDY'S, Frosty Dairy Dessert",132,2.6g,3.49 g,23.62 g
2032,"Pokeberry shoots, raw, (poke)",23,0.4g,2.60 g,3.70 g
2033,"Potatoes, raw, flesh and skin",77,0.1g,2.05 g,17.49 g
2034,"McDONALD'S, Strawberry Sundae",158,4g,3.19 g,28.09 g
2035,"Peppers, sun-dried, hot chile",324,5.8g,10.58 g,69.86 g
2036,"Nopales, without salt, cooked",15,0.1g,1.35 g,3.28 g
2037,"T.G.I. FRIDAY'S, french fries",296,15g,3.74 g,36.90 g
2038,"APPLEBEE'S, mozzarella sticks",316,18g,14.87 g,22.87 g
2039,"BARBARA DEE, Winter Mints Cookies",515,26g,3.90 g,67.10 g
2040,"KEEBLER, Wheat Crackers, TOWN HOUSE",489,24g,6.30 g,63.20 g
2041,"Egg, pasteurized, frozen, raw, yolk",296,26g,15.53 g,0.81 g
2042,"Raspberries, sweetened, red, frozen",103,0.2g,0.70 g,26.16 g
2043,"Peas and carrots, unprepared, frozen",53,0.5g,3.40 g,11.15 g
2044,"Pie, prepared from recipe, blueberry",245,12g,2.70 g,33.50 g
2045,"Beans, drained solids, canned, pinto",114,0.9g,6.99 g,20.22 g
2046,"Turkey, with broth, meat only, canned",169,6.9g,23.68 g,1.47 g
2047,"Plums, wild (Northern Plains Indians)",91,0.2g,0.43 g,21.95 g
2048,"McDONALD'S, Grilled, RANCH SNACK WRAP",222,10g,13.77 g,18.43 g
2049,"Squirrel, meat (Alaska Native), ground",111,3.8g,19.30 g,0.00 g
2050,"Cereals ready-to-eat, UNCLE SAM CEREAL",346,12g,15.98 g,65.78 g
2051,"Bear, raw (Alaska Native), meat, polar",130,3.1g,25.60 g,0.00 g
2052,"Babyfood, toddler, macaroni and cheese",82,2.6g,3.50 g,11.20 g
2053,"Babyfood, pasta with vegetables, dinner",60,2.1g,1.70 g,8.40 g
2054,"SPAGHETTIOS, SpaghettiOs with Meatballs",95,2.8g,4.37 g,12.70 g
2055,"Gravy, country style sausage, CAMPBELL'S",119,10g,3.39 g,5.08 g
2056,"Nuts, peeled, dried, european, chestnuts",369,3.9g,5.01 g,78.43 g
2057,"SMART SOUP, Vietnamese Carrot Lemongrass",44,1.1g,1.30 g,8.20 g
2058,"Syrups, cane and 15% maple, table blends",278,0.1g,0.00 g,69.52 g
2059,"Pasta, cooked, plain, fresh-refrigerated",131,1.1g,5.15 g,24.93 g
2060,"Candies, ROLO Caramels in Milk Chocolate",474,21g,5.08 g,67.95 g
2061,"Candies, SNICKERS Bar, MARS SNACKFOOD US",491,24g,7.53 g,61.51 g
2062,"Potatoes, unprepared, dry mix, scalloped",358,4.6g,7.77 g,73.93 g
2063,"Potatoes, unprepared, dry mix, au gratin",314,3.7g,8.90 g,74.31 g
2064,"Beverages, POLAND SPRING, bottled, water",0,0g,0.00 g,0.00 g
2065,"PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",291,13g,11.47 g,31.79 g
2066,"Pasta with tomato sauce, canned, no meat",70,0.4g,2.22 g,14.22 g
2067,"Lasagna with meat & sauce, frozen entree",124,4.4g,6.63 g,14.39 g
2068,"Soup, condensed, canned, cream of potato",74,1.9g,1.51 g,12.79 g
2069,"Soup, condensed, canned, cream of shrimp",72,4.1g,2.22 g,6.53 g
2070,"MURRAY, Chocolate Creme Sandwich Cookies",473,19g,4.90 g,71.30 g
2071,"Fish, dry heat, cooked, florida, pompano",211,12g,23.69 g,0.00 g
2072,"KELLOGG'S, Cinnamon Toast, Waffles, EGGO",325,12g,5.50 g,49.50 g
2073,"Pancakes, incomplete, dry mix, buckwheat",340,2.7g,10.90 g,71.30 g
2074,"GIRL SCOUTS, Thank U Berry Munch Cookies",491,22g,4.60 g,70.00 g
2075,"Gravy, classic chicken, HEINZ Home Style",46,2.6g,0.67 g,5.01 g
2076,"Cereals ready-to-eat, KASHI GOOD FRIENDS",299,3.2g,9.40 g,79.30 g
2077,"Oil, fully hydrogenated, soy, industrial",884,100g,0.00 g,0.00 g
2078,"Cowpeas (blackeyes), raw, immature seeds",90,0.4g,2.95 g,18.83 g
2079,"Egg rolls, heated, refrigerated, chicken",197,4.5g,10.44 g,28.54 g
2080,"Beef, raw, inside, imported, New Zealand",128,4.4g,22.16 g,0.10 g
2081,"Candies, chocolate-flavor roll, caramels",387,3.3g,1.59 g,87.73 g
2082,"Taro, with salt, steamed, cooked, leaves",24,0.4g,2.72 g,3.89 g
2083,"Veal, raw, separable lean and fat, shank",107,3.3g,19.28 g,0.00 g
2084,"Spaghetti with meat sauce, frozen entree",90,1g,5.05 g,15.24 g
2085,"Whale, raw (Alaska Native), meat, beluga",111,0.5g,26.50 g,0.00 g
2086,"Snacks, chocolate chip, crisped rice bar",404,14g,5.10 g,73.00 g
2087,"SUNSHINE, Reduced Fat Crackers, CHEEZ-IT",449,15g,13.30 g,67.00 g
2088,"Beverages, Classic Malt powder, OVALTINE",372,0g,0.00 g,93.33 g
2089,"Kale, with salt, drained, boiled, cooked",28,0.4g,1.90 g,5.63 g
2090,"Lamb, raw, testes, imported, New Zealand",68,2.4g,11.40 g,0.14 g
2091,"Beans, raw, mature seeds, great northern",339,1.1g,21.86 g,62.37 g
2092,"Cherries, unsweetened, frozen, red, sour",46,0.4g,0.92 g,11.02 g
2093,"Nuts, unblanched, honey roasted, almonds",594,50g,18.17 g,27.90 g
2094,"Lamb, raw, brains, imported, New Zealand",118,8g,11.33 g,0.00 g
2095,"Cereals ready-to-eat, GOLDEN CRISP, POST",380,1.7g,5.50 g,90.10 g
2096,"ARCHWAY Home Style Cookies, Iced Oatmeal",435,17g,4.89 g,66.76 g
2097,"PAPA JOHN'S 14"" Cheese Pizza, Thin Crust",295,16g,12.29 g,26.26 g
2098,"KASHI, Frozen Entree, Tuscan Veggie Bake",90,3.2g,2.00 g,15.00 g
2099,"Peanut butter, without salt, chunk style",589,50g,24.06 g,21.57 g
2100,"Babyfood, junior, with egg yolks, cereal",52,1.8g,1.90 g,7.10 g
2101,"Beverages, sugar free, AMP, Energy drink",2,0g,0.00 g,1.03 g
2102,"Salad dressing, regular, ranch dressing",430,45g,1.32 g,5.90 g
2103,"Beverages, No pulp, light, Orange juice",21,0g,0.21 g,5.42 g
2104,"Fast foods, with egg and bacon, biscuit",305,21g,11.33 g,19.06 g
2105,"Cereals ready-to-eat, homemade, granola",489,24g,13.67 g,53.88 g
2106,"Yachtwurst, cooked, with pistachio nuts",268,23g,14.80 g,1.40 g
2107,"ARCHWAY Home Style Cookies, Dutch Cocoa",431,15g,4.50 g,69.44 g
2108,"Alcoholic beverage, canned, pina colada",237,7.6g,0.60 g,27.60 g
2109,"Sausage, hot, beef with chicken, Polish",259,19g,17.60 g,3.60 g
2110,"Soup, dry, chicken flavor, ramen noodle",439,18g,10.22 g,60.23 g
2111,"Bread, prepared from recipe, irish soda",290,5g,6.60 g,56.00 g
2112,"Strawberries, sliced, sweetened, frozen",96,0.1g,0.53 g,25.92 g
2113,"OLIVE GARDEN, spaghetti with meat sauce",121,3.3g,5.80 g,17.19 g
2114,"WORTHINGTON Leanies, unprepared, frozen",251,17g,19.50 g,6.10 g
2115,"Turkey from whole, raw, meat only, neck",125,6g,16.51 g,0.00 g
2116,"Turkey sticks, fried, battered, breaded",279,17g,14.20 g,17.00 g
2117,"SUNSHINE, Baby Swiss Crackers, CHEEZ-IT",503,25g,8.60 g,63.10 g
2118,"Potatoes, baked, flesh and skin, Russet",97,0.1g,2.63 g,21.44 g
2119,"Soup, condensed, canned, bean with pork",129,4.4g,5.88 g,16.97 g
2120,"Fish, dry heat, cooked, striped, mullet",150,4.9g,24.81 g,0.00 g
2121,"Cookies, chocolate-covered, sugar wafer",526,28g,3.45 g,65.99 g
2122,"Soup, lower sodium, beef broth, SWANSON",6,0.1g,1.20 g,0.21 g
2123,"Pickles, reduced sodium, dill, cucumber",12,0.3g,0.50 g,2.41 g
2124,"Potato chips, reduced fat, without salt",487,21g,7.10 g,67.80 g
2125,"Beverages, Light Cranberry, OCEAN SPRAY",19,0g,0.22 g,4.72 g
2126,"Milk, with added vitamin D, fluid, goat",69,4.1g,3.56 g,4.45 g
2127,"McDONALD'S, NEWMAN'S OWN Ranch Dressing",313,27g,2.62 g,16.75 g
2128,"Soup, condensed, canned, cream of onion",88,4.2g,2.20 g,10.40 g
2129,"Cake, prepared from recipe, gingerbread",356,16g,3.90 g,49.20 g
2130,"MURRAY, Fudge Dipped Wafers, SUGAR FREE",486,34g,3.40 g,61.20 g
2131,"KELLOGG'S, Original, Pancakes, CINNABON",258,7.7g,5.00 g,43.10 g
2132,"KASHI, Frozen Entree, Red Curry Chicken",110,3g,5.90 g,15.60 g
2133,"Cookies, prepared from recipe, brownies",466,29g,6.20 g,50.20 g
2134,"SUNSHINE, Mozzarella Crackers, CHEEZ-IT",500,24g,8.60 g,64.10 g
2135,"Pie, prepared from recipe, banana cream",269,14g,4.40 g,32.90 g
2136,"KASHI, Oatmeal Raisin Flax Cookies, TLC",414,15g,7.70 g,67.00 g
2137,"Babyfood, toddler, beef lasagna, dinner",77,2.1g,4.20 g,10.00 g
2138,"Veal, raw, separable lean only, sirloin",110,2.6g,20.20 g,0.00 g
2139,"Cookies, with frosting or icing, animal",509,24g,3.00 g,70.09 g
2140,"KASHI, unprepared, 7 Whole Grain, Pilaf",375,5.4g,13.81 g,71.00 g
2141,"Lamb, raw, liver, imported, New Zealand",136,4.9g,20.70 g,2.22 g
2142,"Noodles, cooked, enriched, spinach, egg",132,1.6g,5.04 g,24.25 g
2143,"Ice cream, chocolate, soft serve, light",141,3.7g,3.36 g,23.15 g
2144,"Pie crust, baked, regular, refrigerated",506,29g,3.41 g,58.52 g
2145,"Babyfood, strained, beef noodle, dinner",63,2.3g,2.44 g,8.18 g
2146,"Candies, prepared-from-recipe, divinity",364,0.1g,1.32 g,89.05 g
2147,"Lima beans, canned, mature seeds, large",79,0.2g,4.93 g,14.91 g
2148,"Babyfood, dry fortified, barley, cereal",376,6.6g,13.20 g,69.40 g
2149,"Fish, New York State, raw, brook, trout",110,2.7g,21.23 g,0.00 g
2150,"Sea lion, meat (Alaska Native), Steller",120,1.9g,25.85 g,0.00 g
2151,"Beverages, strawberry, fast food, shake",113,2.8g,3.40 g,18.90 g
2152,"Fish, dry heat, cooked, sockeye, salmon",156,5.6g,26.48 g,0.00 g
2153,"Avocados, all commercial varieties, raw",160,15g,2.00 g,8.53 g
2154,"LOMA LINDA Linketts, unprepared, canned",209,12g,21.30 g,4.40 g
2155,"Candies, sweet chocolate coated fondant",366,9.3g,2.20 g,80.40 g
2156,"Pie, commercially prepared, egg custard",210,12g,5.50 g,20.80 g
2157,"WORTHINGTON FriPats, unprepared, frozen",209,9.1g,23.70 g,8.00 g
2158,"Owl, raw (Alaska Native), flesh, horned",136,5g,22.70 g,0.00 g
2159,"McDONALD'S, QUARTER POUNDER with Cheese",258,14g,14.59 g,19.95 g
2160,"Fish, dry heat, cooked, chinook, salmon",231,13g,25.72 g,0.00 g
2161,"Peas, unprepared, frozen, edible-podded",42,0.3g,2.80 g,7.20 g
2162,"Mung beans, raw, sprouted, mature seeds",30,0.2g,3.04 g,5.94 g
2163,"Cheesefurter, beef, pork, cheese smokie",328,29g,14.10 g,1.51 g
2164,"HEALTHY REQUEST, condensed, Tomato Soup",73,1.2g,1.61 g,13.71 g
2165,"Candies, prepared-from-recipe, truffles",510,34g,6.21 g,44.88 g
2166,"Beverages, chamomile, brewed, herb, tea",1,0g,0.00 g,0.20 g
2167,"MOTHER'S, Old Fashioned Oatmeal Cookies",470,18g,6.50 g,71.20 g
2168,"Goose, raw, meat and skin, domesticated",371,34g,15.86 g,0.00 g
2169,"Soybeans, salted, roasted, mature seeds",469,25g,38.55 g,30.22 g
2170,"Babyfood, strained, tutti frutti, fruit",66,0.3g,0.40 g,15.48 g
2171,"Frankfurter, unheated, meat and poultry",277,24g,9.72 g,5.02 g
2172,"Game meat, stewed, cooked, wild, rabbit",173,3.5g,33.02 g,0.00 g
2173,"Soup, canned, low sodium, chicken broth",16,0.6g,2.00 g,1.20 g
2174,"Babyfood, toddler, chicken stew, dinner",78,3.7g,5.20 g,6.40 g
2175,"Soup, condensed, canned, chicken noodle",48,1.6g,2.37 g,6.07 g
2176,"Squash, boiled (Navajo), cooked, Indian",16,0.2g,0.31 g,3.22 g
2177,"Butter replacement, powder, without fat",373,1g,2.00 g,89.00 g
2178,"Oil, (approx. 65%), linoleic, sunflower",884,100g,0.00 g,0.00 g
2179,"Restaurant, sirloin steak, family style",195,8.5g,29.80 g,0.00 g
2180,"Pie, Commercially Prepared, Dutch Apple",290,12g,2.17 g,44.54 g
2181,"MURRAY, Vanilla Sugar Wafer, SUGAR FREE",458,28g,3.20 g,68.50 g
2182,"Fish, raw (Alaska Native), Chum, Salmon",116,3.7g,20.69 g,0.00 g
2183,"Chicken, skin, BBQ, rotisserie, broiler",378,35g,15.19 g,0.70 g
2184,"MOTHER'S, Holiday Circus Animal Cookies",515,25g,3.80 g,68.30 g
2185,"MOTHER'S, Peanut Butter Gauchos Cookies",482,22g,7.40 g,65.70 g
2186,"Babyfood, canned, no sugar, grape juice",62,0g,0.00 g,15.38 g
2187,"Cake, sponge, creme-filled, snack cakes",374,12g,3.47 g,64.03 g
2188,"Babyfood, strained, carrots, vegetables",26,0.1g,0.80 g,6.00 g
2189,"Soup, condensed, canned, vegetable beef",63,1.5g,4.45 g,8.11 g
2190,"JACKSON'S, Old Fashioned Vanilla Wafers",453,15g,5.00 g,74.00 g
2191,"Veal, raw, separable lean and fat, loin",177,10g,20.07 g,0.07 g
2192,"Mayonnaise, with olive oil, reduced fat",361,40g,0.37 g,0.00 g
2193,"Candies, yogurt, confectioner's coating",522,27g,5.87 g,63.94 g
2194,"Blackberries, raw (Alaska Native), wild",52,1.1g,0.84 g,9.84 g
2195,"McDONALD'S, McFLURRY with M&M'S CANDIES",177,6.5g,4.02 g,26.82 g
2196,"Rolls, mixed-grain, hamburger or hotdog",263,6g,9.60 g,44.60 g
2197,"Lamb, raw, heart, imported, New Zealand",105,3.7g,18.09 g,0.00 g
2198,"SCHAR, Classic White Rolls, Gluten-Free",239,2.7g,3.34 g,50.47 g
2199,"TACO BELL, BURRITO SUPREME with chicken",179,6.4g,9.84 g,20.51 g
2200,"Vitasoy USA, Organic Nasoya Silken Tofu",47,2.5g,4.80 g,1.40 g
2201,"Cheese food, swiss, pasteurized process",323,24g,21.92 g,4.50 g
2202,"Cabbage, pickled, fresh, japanese style",30,0.1g,1.60 g,5.67 g
2203,"Seeds, partially defatted, sesame flour",382,12g,40.32 g,35.14 g
2204,"Yogurt, DANNON OIKOS, strawberry, Greek",106,2.9g,8.25 g,11.67 g
2205,"Yogurt, CHOBANI, vanilla, nonfat, Greek",71,0.2g,9.07 g,8.09 g
2206,"Beverages, Tropical, V8 V-FUSION Juices",49,0g,0.41 g,11.38 g
2207,"Gravy, microwavable, turkey, CAMPBELL'S",42,1.7g,1.67 g,5.00 g
2208,"Formulated Bar, SOUTH BEACH protein bar",412,15g,30.34 g,38.40 g
2209,"MOTHER'S, English Tea Sandwich Cookies",469,19g,4.50 g,71.00 g
2210,"Fast foods, biscuit with egg and steak",277,19g,12.12 g,14.37 g
2211,"Candies, prepared-from-recipe, fondant",373,0g,0.00 g,93.18 g
2212,"Mollusks, raw, farmed, eastern, oyster",59,1.6g,5.22 g,5.53 g
2213,"KEEBLER, Rainbow, Vanilla Wafers Minis",466,18g,4.00 g,72.30 g
2214,"Crackers, regular, standard snack-type",510,26g,6.64 g,61.30 g
2215,"Pork, microwaved, cooked, bacon, cured",476,34g,39.01 g,0.48 g
2216,"Sausage, smoked, pork and beef, Polish",301,27g,12.07 g,1.98 g
2217,"Sausage, mild, breakfast links, turkey",235,18g,15.42 g,1.56 g
2218,"Fish, dry heat, cooked, king, mackerel",134,2.6g,26.00 g,0.00 g
2219,"Candies, milk chocolate coated raisins",390,15g,4.10 g,68.40 g
2220,"Candies, milk chocolate coated peanuts",519,34g,13.10 g,49.70 g
2221,"Grapefruit, Florida, pink and red, raw",30,0.1g,0.55 g,7.50 g
2222,"PIZZA HUT, parmesan garlic, breadstick",343,13g,12.20 g,44.48 g
2223,"MORI-NU, lite extra firm, silken, Tofu",38,0.7g,7.00 g,1.00 g
2224,"Frankfurter, low fat, meat and poultry",121,2.8g,15.50 g,8.40 g
2225,"Cookies, sugar free, dry mix, brownies",426,13g,2.90 g,80.40 g
2226,"Beverages, fortified, Acai berry drink",62,0.8g,0.83 g,12.83 g
2227,"Beverages, Whey protein powder isolate",359,1.2g,58.14 g,29.07 g
2228,"Candies, starch jelly pieces, gumdrops",396,0g,0.00 g,98.90 g
2229,"Alcoholic beverage, dry, dessert, wine",152,0g,0.20 g,11.67 g
2230,"Salad dressing, regular, green goddess",427,43g,1.90 g,7.36 g
2231,"WENDY'S, without cheese, Jr. Hamburger",243,8.8g,12.62 g,28.45 g
2232,"Nuts, sweetened, canned, coconut cream",357,16g,1.17 g,53.21 g
2233,"Potatoes, baked, flesh and skin, white",94,0.2g,2.10 g,21.08 g
2234,"McDONALD'S, McFLURRY with OREO cookies",165,5.7g,3.97 g,25.55 g
2235,"Babyfood, junior, dutch apple, dessert",79,0.2g,0.20 g,19.18 g
2236,"Fast foods, plain, roast beef sandwich",244,10g,15.17 g,22.21 g
2237,"Beverages, regular, brewed, green, tea",1,0g,0.22 g,0.00 g
2238,"Grapes, raw, american type (slip skin)",67,0.4g,0.63 g,17.15 g
2239,"CRACKER BARREL, thick-cut, onion rings",327,16g,4.78 g,40.95 g
2240,"Duck, raw, meat and skin, domesticated",404,39g,11.49 g,0.00 g
2241,"Frostings, prepared-from-recipe, glaze",341,0.5g,0.44 g,83.65 g
2242,"Babyfood, strained, mixed fruit yogurt",75,0.8g,0.80 g,16.23 g
2243,"Snacks, salted, fat free, potato chips",379,0.6g,9.64 g,83.76 g
2244,"Popcorn, fat-free, sugar syrup/caramel",381,1.4g,2.00 g,90.06 g
2245,"Cake, commercially prepared, fruitcake",324,9.1g,2.90 g,61.60 g
2246,"KELLOGG'S, Caramel, Pancakes, CINNABON",255,7.1g,5.00 g,43.40 g
2247,"McDONALD'S, Bacon Egg & Cheese Biscuit",304,19g,13.45 g,22.26 g
2248,"PIZZA HUT 14"" Sausage Pizza, Pan Crust",287,14g,11.08 g,29.56 g
2249,"Veal, raw, separable lean and fat, rib",162,9g,18.86 g,0.00 g
2250,"Candies, prepared-from-recipe, praline",485,26g,3.30 g,59.59 g
2251,"Babyfood, strained, squash, vegetables",28,0.2g,0.81 g,5.73 g
2252,"Dip, medium, salsa con queso, TOSTITOS",133,8.3g,2.92 g,11.72 g
2253,"Fish oil, fully hydrogenated, menhaden",902,100g,0.00 g,0.00 g
2254,"Snacks, chopped and formed, beef jerky",410,26g,33.20 g,11.00 g
2255,"Tomato and vegetable juice, low sodium",22,0.1g,0.60 g,4.59 g
2256,"KEEBLER, Minis Original Crackers, CLUB",479,21g,6.00 g,66.40 g
2257,"Game meat, roasted, cooked, wild, boar",160,4.4g,28.30 g,0.00 g
2258,"Soup, condensed, canned, tomato bisque",96,2g,1.76 g,18.47 g
2259,"Cake, commercially prepared, angelfood",258,0.8g,5.90 g,57.80 g
2260,"Fish, dry heat, cooked, rainbow, smelt",124,3.1g,22.60 g,0.00 g
2261,"Desserts, unsweetened, tablets, rennin",84,0.1g,1.00 g,19.80 g
2262,"Tortillas, corn, ready-to-bake or -fry",218,2.9g,5.70 g,44.64 g
2263,"Toaster pastries, brown-sugar-cinnamon",370,8g,4.06 g,72.64 g
2264,"Beans, raw, mature seeds, black turtle",339,0.9g,21.25 g,63.25 g
2265,"Cereals ready-to-eat, ALPHA-BITS, POST",389,4.6g,10.00 g,80.30 g
2266,"Babyfood, dry fortified, mixed, cereal",379,4.4g,12.20 g,73.40 g
2267,"Fish, dried (Alaska Native), whitefish",371,13g,62.44 g,0.00 g
2268,"Tomatoes, with salt, cooked, ripe, red",18,0.1g,0.95 g,4.01 g
2269,"Cereals ready-to-eat, POST Bran Flakes",328,2.1g,9.90 g,80.50 g
2270,"KEEBLER, Original Crackers, TOWN HOUSE",526,30g,5.10 g,59.80 g
2271,"Biscuits, dry mix, plain or buttermilk",428,15g,8.00 g,63.40 g
2272,"Alcoholic beverage, all, regular, beer",43,0g,0.46 g,3.55 g
2273,"Blueberries, raw (Alaska Native), wild",61,0.8g,1.22 g,12.31 g
2274,"Fish, dry heat, cooked, orange, roughy",105,0.9g,22.64 g,0.00 g
2275,"Babyfood, beef with vegetables, dinner",96,6.9g,2.03 g,6.36 g
2276,"Pineapple, drained, juice pack, canned",60,0.1g,0.51 g,15.56 g
2277,"Apricots, drained, heavy syrup, canned",83,0.1g,0.64 g,21.31 g
2278,"Chicken, with broth, meat only, canned",165,8g,21.77 g,0.00 g
2279,"Tofu, prepared with nigari, extra firm",83,5.3g,9.98 g,1.18 g
2280,"Cream puff shell, prepared from recipe",360,26g,9.00 g,22.80 g
2281,"Peanut butter, with salt, smooth style",598,51g,22.21 g,22.31 g
2282,"Fish, dry heat, cooked, american, shad",252,18g,21.71 g,0.00 g
2283,"Popcorn, low fat and sodium, microwave",429,9.5g,12.60 g,73.39 g
2284,"Braunschweiger (a liver sausage), pork",327,29g,14.50 g,3.10 g
2285,"Restaurant, chicken chow mein, Chinese",85,2.8g,6.76 g,8.29 g
2286,"Vanilla extract, no alcohol, imitation",56,0g,0.03 g,14.40 g
2287,"Babyfood, junior, chicken sticks, meat",188,14g,14.60 g,1.50 g
2288,"Pickles, dill or kosher dill, cucumber",12,0.3g,0.50 g,2.41 g
2289,"Strawberries, whole, sweetened, frozen",78,0.1g,0.52 g,21.00 g
2290,"Restaurant, lasagna with meat, Italian",185,11g,10.83 g,11.36 g
2291,"Jellies, home preserved, reduced sugar",179,0g,0.30 g,46.10 g
2292,"Snacks, air-popped (Unsalted), popcorn",382,4.2g,12.00 g,77.90 g
2293,"McDONALD'S, NEWMAN'S OWN Cobb Dressing",196,14g,1.69 g,15.49 g
2294,"Milk, with added vitamin D, whole, dry",496,27g,26.32 g,38.42 g
2295,"Soup, condensed, canned, chicken gumbo",45,1.1g,2.10 g,6.67 g
2296,"Soup, condensed, canned, chicken broth",31,1g,4.42 g,0.75 g
2297,Chilchen (Red Berry Beverage) (Navajo),44,0.6g,0.81 g,8.68 g
2298,"BURGER KING, Original Chicken Sandwich",286,15g,12.14 g,26.22 g
2299,"BURGER KING, no cheese, DOUBLE WHOPPER",252,16g,13.94 g,13.74 g
2300,"MURRAY, Shortbread Cookies, SUGAR FREE",431,18g,7.00 g,71.60 g
2301,"Babyfood, junior, peach melba, dessert",60,0g,0.30 g,16.40 g
2302,"Milk, reduced sugar, lowfat, chocolate",54,1g,3.43 g,7.68 g
2303,"Taco shells, without added salt, baked",468,23g,7.20 g,62.40 g
2304,"MURRAY, Vanilla Creme Sandwich Cookies",477,18g,4.90 g,73.90 g
2305,"Restaurant, french fries, family style",289,14g,3.49 g,37.20 g
2306,"Pasta, cooked, made with egg, homemade",130,1.7g,5.28 g,23.54 g
2307,"Fish, dry heat, cooked, northern, pike",113,0.9g,24.69 g,0.00 g
2308,"KELLOGG'S, French Toast, Waffles, EGGO",305,12g,5.80 g,43.40 g
2309,"Cornmeal, yellow, unenriched, degermed",370,1.8g,7.11 g,79.45 g
2310,"Restaurant, cheese quesadilla, Mexican",368,23g,15.93 g,24.11 g
2311,"Alcoholic beverage, white, table, wine",82,0g,0.07 g,2.60 g
2312,"SPAGHETTIOS, SpaghettiOs in Meat Sauce",69,0.8g,3.17 g,12.30 g
2313,"Snacks, plain, rice cracker brown rice",387,2.8g,8.20 g,81.50 g
2314,"ANDREA'S, Gluten Free Soft Dinner Roll",257,8.2g,5.65 g,40.24 g
2315,"Nuts, peeled, raw, european, chestnuts",196,1.3g,1.63 g,44.17 g
2316,"Beef, raw, brisket, corned beef, cured",198,15g,14.68 g,0.14 g
2317,"Sauerkraut, solids and liquids, canned",19,0.1g,0.91 g,4.28 g
2318,"Salad dressing, light, mayonnaise-type",158,10g,0.65 g,16.40 g
2319,"Salad dressing, regular, honey mustard",464,41g,0.87 g,23.33 g
2320,"Beverages, Mixed Berry, Zero, POWERADE",0,0g,0.00 g,0.14 g
2321,"Egg rolls, prepared, frozen, vegetable",214,7g,5.95 g,31.77 g
2322,"Baking chocolate, squares, unsweetened",642,52g,14.32 g,28.42 g
2323,"KEEBLER, Coconut Cookies, CHIPS DELUXE",530,29g,5.70 g,61.50 g
2324,"Beans, liquid from stewed kidney beans",47,3.2g,1.80 g,2.80 g
2325,"Fish, whole (Alaska Native), blackfish",82,1.8g,15.50 g,0.00 g
2326,"Strawberry-flavor beverage mix, powder",389,0.2g,0.10 g,99.10 g
2327,"Sweeteners, liquid, fructose, tabletop",279,0g,0.00 g,76.10 g
2328,"Sauce, TABASCO, pepper, ready-to-serve",12,0.8g,1.29 g,0.80 g
