,name,calories,total_fat,protein,carbohydrate
40,"Gravy, mix, dry, onion",322,3g,9.00 g,67.64 g
41,"Pie, fruit, fried pies",316,16g,3.00 g,42.60 g
42,"Snacks, cakes, popcorn",384,3.1g,9.70 g,80.10 g
43,"Snack, Mixed Berry Bar",383,11g,13.16 g,58.84 g
44,"Fish, raw, sheepshead",108,2.4g,20.21 g,0.00 g
45,"Babyfood, pear, juice",47,0g,0.00 g,11.86 g
46,"Brussels sprouts, raw",43,0.3g,3.38 g,8.95 g
47,"Broccoli raab, cooked",33,0.5g,3.83 g,3.12 g
48,"Butter oil, anhydrous",876,99g,0.28 g,0.00 g
49,"Chicory, raw, witloof",17,0.1g,0.90 g,4.00 g
50,"KEEBLER, Waffle Cones",424,5.3g,6.50 g,87.70 g
51,"KEEBLER, Waffle Bowls",424,5.3g,6.50 g,87.70 g
52,"Broccoli, raw, leaves",28,0.4g,2.98 g,5.06 g
53,"Durian, raw or frozen",147,5.3g,1.47 g,27.09 g
54,"Tomatoes, raw, orange",16,0.2g,1.16 g,3.18 g
55,"Tomatoes, raw, yellow",15,0.3g,0.98 g,2.98 g
56,"Egg custards, dry mix",410,6.4g,6.90 g,82.80 g
57,"Peanut flour, low fat",428,22g,33.80 g,31.27 g
58,"Fish, smoked, haddock",116,1g,25.23 g,0.00 g
59,"DENNY'S, french fries",282,14g,3.41 g,35.20 g
60,"Ground turkey, cooked",203,10g,27.37 g,0.00 g
61,"MURRAY, Vanilla Wafer",461,17g,4.00 g,72.90 g
62,"WENDY'S, french fries",301,14g,3.73 g,39.73 g
63,"Bread, toasted, wheat",313,4.3g,12.96 g,55.77 g
64,"Danish pastry, cheese",374,22g,8.00 g,37.20 g
65,"Nuts, glazed, walnuts",500,36g,8.28 g,47.59 g
66,"Spices, garlic powder",331,0.7g,16.55 g,72.73 g
67,"Oil, soybean lecithin",763,100g,0.00 g,0.00 g
68,"Egg, fresh, raw, yolk",322,27g,15.86 g,3.59 g
69,"Fireweed, raw, leaves",103,2.8g,4.71 g,19.22 g
70,"Beef, pastrami, cured",147,5.8g,21.80 g,0.36 g
71,"Frankfurter, meatless",233,14g,19.61 g,7.70 g
72,"Emu, raw, flat fillet",102,0.7g,22.25 g,0.00 g
73,"Emu, raw, inside drum",108,1.5g,22.22 g,0.00 g
74,"Ice creams, chocolate",216,11g,3.80 g,28.20 g
75,"Snacks, potato sticks",522,34g,6.70 g,53.30 g
76,"USDA Commodity, salsa",36,0.2g,1.50 g,7.00 g
77,"Figs, uncooked, dried",249,0.9g,3.30 g,63.87 g
78,"Game meat, raw, horse",133,4.6g,21.39 g,0.00 g
79,"Syrup, fruit flavored",261,0g,0.00 g,65.10 g
80,"Broccoli, raw, stalks",28,0.4g,2.98 g,5.24 g
81,"Cream, cultured, sour",198,19g,2.44 g,4.63 g
82,"Gravy, canned, au jus",16,0.2g,1.20 g,2.50 g
83,"McDONALD'S, Hamburger",264,10g,12.92 g,30.28 g
84,"Cheese, port de salut",352,28g,23.78 g,0.57 g
85,SILK Original Creamer,100,6.7g,0.00 g,6.67 g
86,SILK Hazelnut Creamer,133,6.7g,0.00 g,20.00 g
87,"Soup, mix, dry, onion",293,0.3g,7.48 g,65.07 g
88,"Mushrooms, raw, enoki",37,0.3g,2.66 g,7.81 g
89,Bacon and beef sticks,517,44g,29.10 g,0.80 g
90,"Salami, pork, Italian",425,37g,21.70 g,1.20 g
91,"Crackers, whole-wheat",427,14g,10.58 g,69.55 g
92,"Peanuts, raw, spanish",570,50g,26.15 g,15.83 g
93,"Hominy, white, canned",72,0.9g,1.48 g,14.26 g
94,"Game meat, raw, moose",102,0.7g,22.24 g,0.00 g
95,"Pears, red anjou, raw",62,0.1g,0.33 g,14.94 g
96,"Horseradish, prepared",48,0.7g,1.18 g,11.29 g
97,"Fish, raw, butterfish",146,8g,17.28 g,0.00 g
98,"Lebanon bologna, beef",172,10g,19.03 g,0.44 g
99,Ham and cheese spread,245,19g,16.18 g,2.28 g
100,"TACO BELL, Taco Salad",170,9.2g,6.69 g,15.10 g
101,"Sauce, worcestershire",78,0g,0.00 g,19.46 g
102,"Candies, marshmallows",318,0.2g,1.80 g,81.30 g
103,"Hummus, home prepared",177,8.6g,4.86 g,20.12 g
104,Horned melon (Kiwano),44,1.3g,1.78 g,7.56 g
105,Ice cream sundae cone,254,14g,3.00 g,28.89 g
106,"Peppers, raw, serrano",32,0.4g,1.74 g,6.70 g
107,"Cabbage, cooked, napa",12,0.2g,1.10 g,2.23 g
108,"Peppers, dried, ancho",281,8.2g,11.86 g,51.42 g
109,"Parsley, freeze-dried",271,5.2g,31.30 g,42.38 g
110,"Spices, black, pepper",251,3.3g,10.39 g,63.95 g
111,"Spices, white, pepper",296,2.1g,10.40 g,68.61 g
112,"Yambean (jicama), raw",38,0.1g,0.72 g,8.82 g
113,"Nuts, dried, pilinuts",719,80g,10.80 g,3.98 g
114,"Kiwifruit, raw, green",61,0.5g,1.14 g,14.66 g
115,"Drumstick leaves, raw",64,1.4g,9.40 g,8.28 g
116,"Yautia (tannier), raw",98,0.4g,1.46 g,23.63 g
117,"Candies, butterscotch",391,3.3g,0.03 g,90.40 g
118,"Cucumber, raw, peeled",12,0.2g,0.59 g,2.16 g
119,"Dandelion greens, raw",45,0.7g,2.70 g,9.20 g
120,"Melons, raw, honeydew",36,0.1g,0.54 g,9.09 g
121,Potato salad with egg,157,9.4g,1.96 g,16.18 g
122,"Mushrooms, raw, white",22,0.3g,3.09 g,3.26 g
123,"Mushrooms, raw, morel",31,0.6g,3.12 g,5.10 g
124,"Cheese, Mexican blend",358,29g,23.54 g,1.75 g
125,"Oranges, Florida, raw",46,0.2g,0.70 g,11.54 g
126,"SILK Vanilla, soymilk",41,1.4g,2.47 g,4.12 g
127,"Papaya nectar, canned",57,0.2g,0.17 g,14.51 g
128,"Fiddlehead ferns, raw",34,0.4g,4.55 g,5.54 g
129,SILK Peach soy yogurt,94,1.2g,2.35 g,18.82 g
130,SILK Plain soy yogurt,66,1.8g,2.64 g,9.69 g
131,"PACE, Enchilada Sauce",40,0g,1.67 g,8.33 g
132,Yeast extract spread,185,0.9g,23.88 g,20.42 g
133,"Tomatoes, raw, green",23,0.2g,1.20 g,5.10 g
134,"Mollusks, raw, snail",90,1.4g,16.10 g,2.00 g
135,"Emu, raw, fan fillet",103,0.8g,22.50 g,0.00 g
136,"Pasta, enriched, dry",371,1.5g,13.04 g,74.67 g
137,"Cookies, gingersnaps",416,9.8g,5.60 g,76.90 g
138,"Sour cream, fat free",74,0g,3.10 g,15.60 g
139,"MURRAY, Honey Graham",445,13g,5.90 g,75.70 g
140,"Frankfurter, chicken",223,16g,15.51 g,2.74 g
